Country,coalcons_ej
Algeria,0.0055684440000000005
Angola,
Argentina,0.05693086539972248
Australia,1.94526248855605
Austria,0.13576893457744124
Azerbaijan,0.0001290000002011884
Bahrain,
Bangladesh,0.0948675714802945
Belarus,0.031009785408000007
Belgium,0.14119401034800003
Bolivia,
Brazil,0.7379197609752026
Brunei,
Bulgaria,0.274451480748
Canada,0.8241174212933899
Chad,
Chile,0.3061974312
China,80.93678104987198
Colombia,0.20800790561214982
Croatia,0.025360075619999995
Cuba,
Curacao (Netherlands),
Cyprus,0.00013926600008488802
Czech Republic,0.683500166028
Democratic Republic of the Congo,
Denmark,0.07236272629
Ecuador,0.0
Egypt,0.03354920903250381
Equatorial Guinea,
Estonia,0.160031135304
Finland,0.15985800000000006
France,0.3595469112160001
Gabon,
Germany,3.2942009999999997
Greece,0.23558688172800002
Hungary,0.098013909096
Iceland,0.0041600000000000005
India,16.553686527076074
Indonesia,2.1413200287112564
Iran,0.06534543913200001
Iraq,0.0
Ireland,0.09181943911560195
Israel,0.27009786081142134
Italy,0.5162236477200001
Japan,5.03273139635182
Kazakhstan,1.433518452
Kuwait,0.007558851005992802
Latvia,0.00193597632
Libya,
Lithuania,0.007636723200000001
Luxembourg,0.0020572260480000003
Madagascar,
Malaysia,0.7282670400000001
Mexico,0.5315416310000001
Mongolia,
Morocco,0.18610744680000002
Mozambique,
Myanmar,
Netherlands,0.4632
Netherlands Antilles,
New Caledonia,
New Zealand,0.06002451551796106
Nigeria,
North Macedonia,0.04066747696800001
Norway,0.031905844344000005
Oman,0.0020598846668007167
Pakistan,0.19474595777771153
Papua New Guinea,
Peru,0.033927
Philippines,0.4863621618341621
Poland,2.03777
Portugal,0.13649055922800002
Qatar,0.0
Republic of Congo,
Romania,0.252322484292
Russia,3.8568801600000007
Saudi Arabia,0.005545249128000001
Serbia,
Singapore,0.0170151552
Slovakia,0.13565793031200002
Slovenia,0.04457748762
South Africa,3.5153560866420954
South Korea,3.5755774416
South Sudan,
Spain,0.5730226857975012
Sri Lanka,0.051872456152439995
Sudan,
Sweden,0.08448598148400001
Switzerland,0.00521
Syria,
Taiwan,1.6504124638387585
Thailand,0.7346654499719326
Total World,158.63527825027083
Trinidad and Tobago,0.0
Tunisia,
Turkey,1.454493859452
Turkmenistan,0.0
United States,15.584679980371163
Ukraine,1.1448385920000002
United Arab Emirates,0.07178971982400001
United Kingdom,0.96606976824
Uzbekistan,0.05322571654896588
Venezuela,0.005501518002
Vietnam,1.0984441939392595
Yemen,
Zambia,
Zimbabwe,
